"Date","Time","Open","High","Low","Close","Up","Down","ZMA","Upper Band","Lower Band"
06/09/2023,14:15,49.70,49.70,49.66,49.68,18958,25756,0.00,0.00,0.00
06/09/2023,14:20,49.69,49.73,49.65,49.72,44923,43826,0.00,0.00,0.00
06/09/2023,14:25,49.73,49.74,49.71,49.72,37477,55752,0.00,0.00,0.00
06/09/2023,14:30,49.72,49.72,49.67,49.69,53606,55041,0.00,0.00,0.00
06/09/2023,14:35,49.68,49.70,49.66,49.69,51463,62015,0.00,0.00,0.00
06/09/2023,14:40,49.69,49.70,49.64,49.69,65546,62506,0.00,0.00,0.00
06/09/2023,14:45,49.69,49.72,49.67,49.70,53893,52961,0.00,0.00,0.00
06/09/2023,14:50,49.70,49.74,49.68,49.68,80218,93515,0.00,0.00,0.00
06/09/2023,14:55,49.69,49.69,49.62,49.64,213050,201077,0.00,0.00,0.00
06/09/2023,15:00,49.64,49.68,49.62,49.66,354345,346663,0.00,0.00,0.00
06/12/2023,08:35,49.96,49.98,49.71,49.72,60652,371661,0.00,0.00,0.00
06/12/2023,08:40,49.72,49.78,49.67,49.78,95539,68439,0.00,0.00,0.00
06/12/2023,08:45,49.79,49.84,49.74,49.77,36882,55993,0.00,0.00,0.00
06/12/2023,08:50,49.77,49.79,49.72,49.79,38984,39583,0.00,0.00,0.00
06/12/2023,08:55,49.79,49.87,49.79,49.87,35503,65042,0.00,0.00,0.00
06/12/2023,09:00,49.88,49.95,49.87,49.88,24029,37261,0.00,0.00,0.00
06/12/2023,09:05,49.88,49.89,49.81,49.82,83406,80844,0.00,0.00,0.00
06/12/2023,09:10,49.82,49.83,49.70,49.75,88233,76787,0.00,0.00,0.00
06/12/2023,09:15,49.74,49.86,49.70,49.86,75892,63004,0.00,0.00,0.00
06/12/2023,09:20,49.86,49.86,49.79,49.80,44670,36495,0.00,0.00,0.00
06/12/2023,09:25,49.80,49.89,49.78,49.87,37298,30381,1.02,0.00,0.00
06/12/2023,09:30,49.87,49.94,49.86,49.92,91781,96195,3.35,0.00,0.00
06/12/2023,09:35,49.93,49.96,49.90,49.94,35414,23686,6.86,0.00,0.00
06/12/2023,09:40,49.94,49.97,49.92,49.94,30175,39018,11.26,0.00,0.00
06/12/2023,09:45,49.94,49.99,49.93,49.98,39829,29273,16.20,0.00,0.00
06/12/2023,09:50,49.99,50.01,49.96,50.00,89362,70813,21.37,0.00,0.00
06/12/2023,09:55,50.00,50.10,50.00,50.09,52246,38010,26.48,0.00,0.00
06/12/2023,10:00,50.10,50.11,50.07,50.08,44518,89312,31.32,0.00,0.00
06/12/2023,10:05,50.08,50.16,50.08,50.11,55400,64104,35.77,0.00,0.00
06/12/2023,10:10,50.11,50.13,50.09,50.12,52313,67303,39.72,0.00,0.00
06/12/2023,10:15,50.12,50.15,50.10,50.15,74120,57282,43.14,0.00,0.00
06/12/2023,10:20,50.15,50.20,50.11,50.19,76331,104951,46.02,0.00,0.00
06/12/2023,10:25,50.19,50.23,50.15,50.17,181626,151254,48.38,0.00,0.00
06/12/2023,10:30,50.17,50.18,50.13,50.13,82576,84111,50.27,0.00,0.00
06/12/2023,10:35,50.13,50.15,50.06,50.09,110020,116656,51.72,0.00,0.00
06/12/2023,10:40,50.10,50.21,50.10,50.15,104228,104217,52.79,0.00,0.00
06/12/2023,10:45,50.15,50.15,50.07,50.11,67847,70337,53.54,0.00,0.00
06/12/2023,10:50,50.12,50.12,50.08,50.10,38824,42032,54.03,0.00,0.00
06/12/2023,10:55,50.10,50.16,50.09,50.13,177268,97656,54.29,0.00,0.00
06/12/2023,11:00,50.14,50.21,50.11,50.21,53635,34542,54.38,0.00,0.00
06/12/2023,11:05,50.21,50.24,50.20,50.24,29990,28793,54.35,0.00,0.00
06/12/2023,11:10,50.24,50.31,50.24,50.31,77691,9462,54.21,0.00,0.00
06/12/2023,11:15,50.31,50.35,50.30,50.34,57966,36215,54.02,0.00,0.00
06/12/2023,11:20,50.34,50.34,50.28,50.29,50897,61168,53.77,0.00,0.00
06/12/2023,11:25,50.29,50.31,50.25,50.25,39292,48531,53.50,0.00,0.00
06/12/2023,11:30,50.25,50.34,50.23,50.32,41694,25185,53.22,0.00,0.00
06/12/2023,11:35,50.32,50.33,50.30,50.31,13311,23202,52.94,0.00,0.00
06/12/2023,11:40,50.31,50.33,50.27,50.30,26884,29851,52.66,0.00,0.00
06/12/2023,11:45,50.30,50.33,50.28,50.30,27423,18275,52.39,0.00,0.00
06/12/2023,11:50,50.30,50.31,50.27,50.28,27898,44153,52.14,0.00,0.00
06/12/2023,11:55,50.28,50.28,50.24,50.26,19580,24551,51.91,0.00,0.00
06/12/2023,12:00,50.27,50.28,50.24,50.26,16217,25327,51.69,0.00,0.00
06/12/2023,12:05,50.26,50.29,50.24,50.29,69101,50203,51.50,0.00,0.00
06/12/2023,12:10,50.29,50.29,50.19,50.22,36286,64917,51.32,0.00,0.00
06/12/2023,12:15,50.23,50.25,50.22,50.25,14699,17331,51.16,0.00,0.00
