"Date","Time","Open","High","Low","Close","Vol","OI"
06/21/2019,15:00,294.13,295.52,293.76,294.00,83309466,0
06/24/2019,15:00,294.23,294.58,293.47,293.64,47582730,0
06/25/2019,15:00,293.70,293.73,290.64,290.76,82028656,0
06/26/2019,15:00,291.74,292.31,290.35,290.47,51584902,0
06/27/2019,15:00,291.31,292.06,290.89,291.50,40355239,0
06/28/2019,15:00,292.58,293.55,292.01,293.00,59350929,0
07/01/2019,15:00,296.68,296.92,294.33,295.66,79107474,0
07/02/2019,15:00,295.61,296.49,294.68,296.43,61504544,0
07/03/2019,15:00,297.18,298.82,297.02,298.80,40898896,0
07/05/2019,15:00,297.44,298.64,296.01,298.46,51677326,0
07/08/2019,15:00,297.01,297.35,296.22,296.82,45841772,0
07/09/2019,15:00,295.54,297.52,295.48,297.19,41101279,0
07/10/2019,15:00,298.37,299.66,297.78,298.61,58595558,0
07/11/2019,15:00,299.32,299.58,298.20,299.31,50889481,0
07/12/2019,15:00,299.87,300.73,299.51,300.65,40354410,0
07/15/2019,15:00,301.13,301.13,300.19,300.75,33910261,0
07/16/2019,15:00,300.65,300.88,299.44,299.71,40567964,0
07/17/2019,15:00,299.75,299.93,297.74,297.74,44102443,0
07/18/2019,15:00,297.19,299.25,296.70,298.83,51701687,0
07/19/2019,15:00,300.04,300.07,296.96,297.17,71081238,0
07/22/2019,15:00,297.61,298.50,297.04,297.90,43687404,0
07/23/2019,15:00,299.14,300.03,298.22,300.03,44657973,0
07/24/2019,15:00,299.19,301.44,299.09,301.44,47213242,0
07/25/2019,15:00,300.94,301.00,299.11,300.00,55394092,0
07/26/2019,15:00,300.76,302.23,300.62,302.01,45084077,0
07/29/2019,15:00,301.88,301.93,300.85,301.46,38126462,0
07/30/2019,15:00,299.91,301.17,299.49,300.72,45849045,0
07/31/2019,15:00,300.99,301.20,295.20,297.43,104245162,0
08/01/2019,15:00,297.60,300.87,293.96,294.84,142646576,0
08/02/2019,15:00,293.85,294.12,290.90,292.62,116749695,0
08/05/2019,15:00,288.09,288.21,281.72,283.82,178745449,0
08/06/2019,15:00,285.91,288.04,284.28,287.80,120711682,0
08/07/2019,15:00,284.40,288.82,282.04,287.97,140572265,0
08/08/2019,15:00,289.62,293.62,289.01,293.62,87713904,0
08/09/2019,15:00,292.58,293.24,289.65,291.62,93729958,0
08/12/2019,15:00,289.96,290.57,287.02,288.12,71053097,0
08/13/2019,15:00,287.74,294.15,287.36,292.55,94792972,0
08/14/2019,15:00,288.07,288.74,283.76,283.90,135622053,0
08/15/2019,15:00,284.88,285.64,282.39,284.65,101929845,0
08/16/2019,15:00,286.48,289.33,284.71,288.85,85825286,0
08/19/2019,15:00,292.19,293.08,291.44,292.33,53640153,0
08/20/2019,15:00,291.77,292.36,289.95,290.09,51652752,0
08/21/2019,15:00,292.48,292.86,291.72,292.45,49723430,0
08/22/2019,15:00,293.23,293.93,290.40,292.36,51739292,0
08/23/2019,15:00,290.92,292.76,283.47,284.85,149318151,0
08/26/2019,15:00,287.27,288.00,285.58,288.00,72621298,0
08/27/2019,15:00,289.54,289.95,286.03,286.87,68262998,0
08/28/2019,15:00,286.14,289.07,285.25,288.89,59852324,0
08/29/2019,15:00,291.72,293.16,290.61,292.58,57998913,0
08/30/2019,15:00,294.22,294.24,291.42,292.45,62961780,0
09/03/2019,15:00,290.57,291.58,289.27,290.74,69234260,0
09/04/2019,15:00,293.14,294.06,292.31,294.04,47003957,0
09/05/2019,15:00,296.79,298.83,296.64,297.82,83356779,0
09/06/2019,15:00,298.17,298.76,297.42,298.05,49584290,0
09/09/2019,15:00,299.14,299.24,297.16,298.20,51260290,0
09/10/2019,15:00,297.36,298.20,295.97,298.13,57947101,0
09/11/2019,15:00,298.47,300.34,297.75,300.25,68821066,0
09/12/2019,15:00,301.25,302.46,300.41,301.29,72908745,0
09/13/2019,15:00,301.78,302.17,300.68,301.09,62104838,0
09/16/2019,15:00,299.84,301.14,299.45,300.16,58191175,0
09/17/2019,15:00,299.94,301.02,299.75,300.92,42904427,0
09/18/2019,15:00,300.49,301.22,298.24,301.10,74192091,0
09/19/2019,15:00,301.53,302.63,300.71,301.08,78099215,0
09/20/2019,15:00,300.36,300.67,297.41,298.28,97455979,0
09/23/2019,15:00,297.55,299.00,297.27,298.21,47541321,0
09/24/2019,15:00,299.41,299.84,294.81,295.87,97367568,0
09/25/2019,15:00,295.96,298.11,294.33,297.62,73434081,0
09/26/2019,15:00,297.63,297.86,295.45,297.00,58722357,0
09/27/2019,15:00,297.83,297.95,293.69,295.40,84781110,0
09/30/2019,15:00,295.97,297.55,295.92,296.77,52562761,0
10/01/2019,15:00,297.74,298.46,293.00,293.24,89900420,0
10/02/2019,15:00,291.50,291.51,286.64,288.06,124523974,0
10/03/2019,15:00,287.81,290.45,284.82,290.42,85906799,0
10/04/2019,15:00,291.14,294.63,290.82,294.35,66684383,0
10/07/2019,15:00,293.47,295.26,292.77,293.08,60656561,0
10/08/2019,15:00,291.04,291.85,288.49,288.53,101575470,0
10/09/2019,15:00,290.75,292.30,290.06,291.27,65707329,0
10/10/2019,15:00,291.18,294.21,291.00,293.24,57255974,0
10/11/2019,15:00,296.27,298.74,296.14,296.28,101228577,0
10/14/2019,15:00,295.93,296.67,295.57,295.95,40546668,0
10/15/2019,15:00,297.10,299.70,296.97,298.88,47832356,0
